0.0060004 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8360478 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8460484 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.856049 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8660496 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8760501 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8860507 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.8960513 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9060519 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9160524 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.926053 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9360536 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9460541 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9560547 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9660553 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9760559 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.9860564 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
0.996057 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0060576 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0160581 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0260587 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0360593 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0460599 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0560604 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.066061 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0760616 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0860621 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.0960627 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1060633 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1160639 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1260644 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.136065 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1460656 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1560662 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1660667 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1760673 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1860679 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.1960684 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.206069 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2160696 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2260702 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2360707 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2460713 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2560719 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2660724 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.276073 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2860736 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.2960742 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3060747 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3160753 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3260759 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3360764 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.346077 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3560776 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3660782 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3760787 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3860793 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.3960799 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4060805 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.416081 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4260816 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4360822 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4460827 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4560833 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4660839 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4760845 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.486085 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.4960856 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5060862 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5160867 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5260873 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5360879 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5460885 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.556089 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5660896 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5760902 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5860907 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.5960913 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6060919 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6160925 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.626093 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6360936 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6460942 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6560948 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6660953 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6760959 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.6860965 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.696097 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7060976 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7160982 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7260988 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7360993 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7460999 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7561005 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.766101 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7761016 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7861022 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.7961028 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8061033 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8161039 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8261045 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.836105 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8461056 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8561062 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8661068 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8761073 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8861079 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.8961085 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9061091 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9161096 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9261102 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9361108 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9461113 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9561119 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9661125 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9761131 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9861136 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
1.9961142 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0061148 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0161153 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0261159 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0361165 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0461171 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0561176 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0661182 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0761188 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0861193 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.0961199 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1061205 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1161211 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1261216 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1361222 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1461228 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1561234 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1661239 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1761245 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1861251 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.1961256 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2061262 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2161268 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2261274 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2361279 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2461285 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2561291 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2661296 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2761302 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2861308 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.2961314 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3061319 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3161325 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3261331 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3361336 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3461342 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3561348 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3661354 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3761359 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3861365 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.3961371 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4061377 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4161382 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4261388 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4361394 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4461399 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4561405 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4661411 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4761417 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4861422 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.4961428 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5061434 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5161439 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5261445 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5361451 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5461457 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5561462 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5661468 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5761474 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5861479 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.5961485 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6061491 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6161497 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6261502 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6361508 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6461514 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.656152 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6661525 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6761531 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6861537 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.6961542 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7061548 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7161554 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.726156 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7361565 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
