0.0050003 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2750157 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2850163 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.2950168 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3050174 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.315018 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3250186 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3350191 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3450197 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3550203 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3650208 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3750214 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.385022 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.3950226 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4050231 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4150237 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4250243 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4350248 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4450254 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.455026 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4650266 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4750271 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4850277 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.4950283 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5050289 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5150294 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.52503 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5350306 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5450311 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5550317 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5650323 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5750329 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.5850334 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.595034 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6050346 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6150351 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6250357 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6350363 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6450369 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6550374 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.665038 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6750386 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6850391 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.6950397 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7050403 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7150409 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7250414 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.735042 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7450426 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7550432 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7650437 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7750443 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7850449 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.7950454 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.805046 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8150466 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8250472 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8350477 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8450483 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8550489 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8650494 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.87505 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8850506 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.8950512 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9050517 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9150523 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9250529 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9350534 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.945054 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9550546 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9650552 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9750557 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9850563 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
0.9950569 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0050575 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.015058 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0250586 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0350592 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0450597 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0550603 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0650609 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0750615 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.085062 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.0950626 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1050632 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1150637 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1250643 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1350649 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1450655 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.155066 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1650666 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1750672 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1850677 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.1950683 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2050689 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2150695 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.22507 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2350706 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2450712 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2550718 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2650723 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2750729 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.2850735 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.295074 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3050746 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3150752 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3250758 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3350763 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3450769 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3550775 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.365078 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3750786 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3850792 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.3950798 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4050803 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4150809 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4250815 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.435082 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4450826 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4550832 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4650838 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4750843 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4850849 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.4950855 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5050861 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5150866 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5250872 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5350878 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5450883 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5550889 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5650895 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5750901 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5850906 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.5950912 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6050918 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6150923 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6250929 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6350935 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6450941 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6550946 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6650952 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6750958 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6850963 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.6950969 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7050975 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7150981 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7250986 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7350992 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7450998 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7551004 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7651009 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7751015 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7851021 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.7951026 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8051032 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8151038 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8251044 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8351049 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8451055 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8551061 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8651066 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8751072 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8851078 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.8951084 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9051089 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9151095 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9251101 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9351106 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9451112 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9551118 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9651124 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9751129 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9851135 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
1.9951141 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0051147 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0151152 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0251158 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0351164 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0451169 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0551175 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0651181 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0751187 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0851192 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.0951198 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1051204 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1151209 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1251215 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1351221 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1451227 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1551232 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1651238 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1751244 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1851249 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.1951255 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2051261 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2151267 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2251272 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2351278 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2451284 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.255129 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2651295 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2751301 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2851307 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.2951312 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3051318 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3151324 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.325133 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3351335 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3451341 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3551347 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3651352 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3751358 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.3851364 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.395137 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4051375 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4151381 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4251387 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4351392 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4451398 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4551404 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.465141 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4751415 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4851421 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.4951427 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5051433 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5151438 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5251444 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.535145 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5451455 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5551461 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5651467 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5751473 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5851478 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.5951484 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.605149 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6151495 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6251501 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6351507 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6451513 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6551518 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6651524 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.675153 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6851535 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.6951541 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7051547 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7151553 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7251558 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7351564 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.745157 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7551576 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7651581 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7751587 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7851593 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.7951598 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8051604 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.815161 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8251616 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8351621 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8451627 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8551633 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8651638 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8751644 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.885165 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.8951656 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9051661 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9151667 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9251673 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9351678 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9451684 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.955169 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9651696 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9751701 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9851707 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
2.9951713 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0051719 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0151724 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.025173 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0351736 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0451741 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0551747 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0651753 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0751759 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.0851764 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.095177 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1051776 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1151781 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1251787 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1351793 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1451799 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1551804 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.165181 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1751816 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1851821 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.1951827 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2051833 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2151839 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2251844 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.235185 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2451856 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
