0.009 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.54 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.55 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.56 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.57 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.58 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.59 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.6 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.61 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.62 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.63 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.64 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.65 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.66 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.67 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.68 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.69 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.7 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.71 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.72 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.73 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.74 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.75 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.76 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.77 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.78 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.79 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.8 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.81 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.82 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.83 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.84 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.85 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.878 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
0.888 0 0 0 | 2.23606797749979 0.463647609000806 -0.463647609000806 | 1.11803398874989 0.232751099718405 | 398 361 | 398 361
0.898 0.0103010644804131 3.28828108134947E-05 0.00638433031554952 | 2.22684442417234 0.459318818792766 -0.465703149108316 | 1.11342221208617 0.230584431364284 | 396 360 | 396 360
0.908 0.0220735296572928 0.000108043138303912 0.00638433031554952 | 2.21629805023581 0.461673776421749 -0.468058106737299 | 1.10814902511791 0.231766620094034 | 394 358 | 394 358
0.918 0.032374594137706 0.000140925949117407 0 | 2.20709490184646 0.470150461138137 -0.470150461138137 | 1.10354745092323 0.236015531491345 | 393 356 | 393 356
0.928 0.0441472992395793 0.000140925949117407 0 | 2.19660600814842 0.472578425510461 -0.472578425510461 | 1.09830300407421 0.237234369606251 | 391 354 | 391 354
0.938 0.0544483637199924 0.000108043138303912 -0.00638433031554952 | 2.18745402119188 0.481119673505728 -0.474735343190179 | 1.09372701059594 0.24151569176956 | 390 352 | 390 352
0.948 0.0662208288968721 3.28828108134947E-05 -0.00638433031554952 | 2.17702460207779 0.483622210375058 -0.477237880059508 | 1.08851230103889 0.242771965277963 | 388 350 | 388 350
0.958 0.0765214735106856 -6.57642813389068E-05 -0.012768660631099 | 2.16792554640447 0.492229401877656 -0.479460741246557 | 1.08396277320224 0.247086391081952 | 387 348 | 387 348
0.968 0.0882932189223638 -0.000216081872819733 -0.012768660631099 | 2.15755765328652 0.494808100042552 -0.482039439411453 | 1.07877882664326 0.24838089756073 | 385 347 | 385 347
0.978 0.0985930238200917 -0.000380489225501423 -0.0191529909466486 | 2.14851334933918 0.503482634989738 -0.484329644043089 | 1.07425667466959 0.252729129773902 | 384 345 | 384 345
0.988 0.110363569655698 -0.000605957954097506 -0.0191529909466486 | 2.13820909220254 0.506139105210651 -0.486986114264002 | 1.06910454610127 0.2540626778248 | 383 343 | 383 343
0.998 0.119191479032402 -0.000775059500544569 -0.0191529909466486 | 2.13049088528035 0.508148310776315 -0.488995319829666 | 1.06524544264017 0.255071299018763 | 381 341 | 381 341
1.008 0.130962024868008 -0.00100052822914065 -0.0191529909466486 | 2.12021343501085 0.510849990945826 -0.491696999999177 | 1.06010671750543 0.256427542463858 | 380 340 | 380 340
1.018 0.141260570234391 -0.00123068914118436 -0.0255373212621981 | 2.11124966800317 0.519633409649659 -0.494096088387461 | 1.05562483400159 0.260830434322867 | 379 338 | 379 338
1.028 0.151557436305507 -0.00152659423133831 -0.0319216515777476 | 2.10233095164156 0.528464388207823 -0.496542736630076 | 1.05116547582078 0.265257201228749 | 377 336 | 377 336
1.038 0.163324143771487 -0.00190233460141239 -0.0319216515777476 | 2.09217267187307 0.531301581279148 -0.499379929701401 | 1.04608633593654 0.266681472150555 | 376 334 | 376 334
1.048 0.172149174370973 -0.00218413987896794 -0.0319216515777476 | 2.08456510835658 0.533447609974203 -0.501525958396455 | 1.04228255417829 0.267758778555472 | 375 333 | 375 333
1.058 0.182443941451348 -0.00254577708627821 -0.0383059818932971 | 2.07571868544859 0.542369115505694 -0.504063133612397 | 1.0378593427243 0.272230990001965 | 373 331 | 373 331
1.068 0.194208010280226 -0.00299663183571277 -0.0383059818932971 | 2.06564444026795 0.545310902250388 -0.507004920357091 | 1.03282222013397 0.273707766947802 | 372 329 | 372 329
1.078 0.204500258759939 -0.00342398642001491 -0.0446903122088467 | 2.05686144825464 0.55430654912674 -0.509616236917894 | 1.02843072412732 0.278217197349415 | 371 327 | 371 327
1.088 0.213320971780288 -0.00381844948413868 -0.0446903122088467 | 2.04935927289601 0.556574311630598 -0.511883999421751 | 1.02467963644801 0.279355614126351 | 370 326 | 370 326
1.098 0.225081922474087 -0.00434440023630371 -0.0446903122088467 | 2.03937290759054 0.559623926527831 -0.514933614318985 | 1.01968645379527 0.280886520804763 | 368 324 | 368 324
1.108 0.235371232845875 -0.00483745477882353 -0.0510746425243962 | 2.03066811576739 0.568714939448967 -0.517640296924571 | 1.01533405788369 0.285443824960857 | 367 322 | 367 322
1.118 0.244189247736752 -0.00528822376686404 -0.0510746425243962 | 2.02323399798629 0.571065208656077 -0.519990566131681 | 1.01161699899314 0.286623660102826 | 366 321 | 366 321
1.128 0.254475200613107 -0.00584695817092758 -0.0574589728399457 | 2.01459299327094 0.580227118233467 -0.522768145393522 | 1.00729649663547 0.291216554380361 | 365 319 | 365 319
1.138 0.264757376743371 -0.00647134966278027 -0.0638433031554952 | 2.00600387319132 0.589440304221846 -0.525597001066351 | 1.00300193659566 0.295835189416211 | 363 317 | 363 317
1.148 0.275039552873636 -0.00709574115463296 -0.0574589728399457 | 1.99743094398835 0.585909135346389 -0.528450162506443 | 0.998715471994174 0.294068926971047 | 362 316 | 362 316
1.158 0.2853217290039 -0.00772013264648565 -0.0638433031554952 | 1.98887441503158 0.595171200420224 -0.531327897264729 | 0.994437207515792 0.298712099307797 | 361 314 | 361 314
1.168 0.294133269505895 -0.00828345606870203 -0.0638433031554952 | 1.98156928468032 0.597669364458723 -0.533826061303228 | 0.990784642340162 0.299966177655124 | 360 313 | 360 313
1.178 0.30441124979335 -0.00897347919843693 -0.0702276334710448 | 1.97308101494925 0.607005311577747 -0.536777678106702 | 0.986540507474623 0.304646438778558 | 359 311 | 359 311
1.188 0.314684615312296 -0.00972910584103203 -0.0766119637865943 | 1.96464775800844 0.616394175813807 -0.539782212027213 | 0.98232387900422 0.309353264294744 | 357 309 | 357 309
1.198 0.323488244822869 -0.0104048918551569 -0.0766119637865943 | 1.95744979775522 0.619001817221874 -0.542389853435279 | 0.978724898877608 0.310662300281594 | 356 308 | 356 308
1.208 0.333756576835704 -0.0112260912116215 -0.0829962941021438 | 1.94908833888703 0.628466408261315 -0.545470114159172 | 0.974544169443515 0.315407140653078 | 355 306 | 355 306
1.218 0.342555712518526 -0.0119580683503383 -0.0829962941021438 | 1.94195280534938 0.631139454312744 -0.5481431602106 | 0.970976402674689 0.316749009770895 | 354 305 | 354 305
1.228 0.352818592492811 -0.0128448069489684 -0.0893806244176933 | 1.93366522236939 0.640680927183673 -0.551300302765979 | 0.966832611184694 0.321532444821786 | 353 303 | 353 303
1.238 0.361612875699202 -0.0136329453772293 -0.0893806244176933 | 1.92659391596381 0.643420363923494 -0.554039739505801 | 0.963296957981903 0.322907642065176 | 352 302 | 352 302
1.248 0.37186988532472 -0.0145851870749718 -0.0957649547332429 | 1.9183823321081 0.653039863696947 -0.557274908963704 | 0.959191166054048 0.327730246621134 | 351 300 | 351 300
1.258 0.380658957603785 -0.0154294546686208 -0.0957649547332429 | 1.9113770923074 0.655846667491375 -0.560081712758132 | 0.955688546153698 0.329139262125937 | 350 298 | 350 298
1.268 0.390909678809591 -0.0164471606525469 -0.102149285048792 | 1.90324367650264 0.665545326563249 -0.563396041514457 | 0.951621838251319 0.334001604649702 | 349 297 | 349 297
1.278 0.399693181922829 -0.0173475229996293 -0.102149285048792 | 1.89630638203265 0.6684204616885 -0.566271176639708 | 0.948153191016325 0.335444922482578 | 348 295 | 348 295
1.288 0.409937196894293 -0.0184306517885161 -0.108533615364342 | 1.88825334908289 0.678199396869896 -0.569665781505554 | 0.944126674541446 0.340347563613323 | 347 294 | 347 294
1.298 0.418714772830201 -0.0193870721906813 -0.108533615364342 | 1.88138591804418 0.681143812934098 -0.572610197569756 | 0.940692959022089 0.341825660477553 | 346 292 | 346 292
1.308 0.428951664026033 -0.0205355796367028 -0.114917945679891 | 1.87341552872581 0.69100412234393 -0.576086176664038 | 0.936707764362903 0.346769151470973 | 345 291 | 345 291
1.318 0.437722955014697 -0.0215480191106998 -0.114917945679891 | 1.86661991863288 0.694018751537096 -0.579100805857204 | 0.933309959316438 0.348282495325942 | 344 289 | 344 289
1.328 0.447952305183972 -0.0227618584012265 -0.121302275995441 | 1.85873447968882 0.703961511291387 -0.582659235295946 | 0.929367239844411 0.353267376392281 | 343 288 | 343 288
1.338 0.456716953711647 -0.0238302756804929 -0.121302275995441 | 1.85201268741903 0.707047265458928 -0.585744989463487 | 0.926006343709514 0.354816424984386 | 342 286 | 342 286
1.348 0.466938345910808 -0.0251093973399996 -0.12768660631099 | 1.84421455144283 0.717073526151899 -0.589386919840908 | 0.922107275721413 0.359843223521942 | 341 285 | 341 285
1.358 0.475695994734495 -0.0262337488763438 -0.12768660631099 | 1.83756861308667 0.720231293687835 -0.592544687376844 | 0.918784306543333 0.361428422824982 | 340 283 | 340 283
1.368 0.48299100731296 -0.0271940002278312 -0.13407093662654 | 1.83205998755428 0.729274176835047 -0.595203240208507 | 0.916029993777142 0.365961565834567 | 339 282 | 339 282
1.378 0.493195234055652 -0.0286035275573312 -0.14045526694209 | 1.8244138290355 0.739434201794756 -0.598978934852666 | 0.912206914517752 0.371055514034025 | 338 280 | 338 280
1.388 0.501937812898134 -0.0298396078457069 -0.14045526694209 | 1.81789986916558 0.742707190111438 -0.602251923169349 | 0.908949934582789 0.372698554169 | 338 279 | 338 279
1.398 0.512132832854128 -0.0313142531609458 -0.146839597257639 | 1.81034742407186 0.752953039765642 -0.606113442508002 | 0.905173712035928 0.377835586365094 | 337 277 | 337 277
1.408 0.520867342033637 -0.032606123390263 -0.146839597257639 | 1.8039148610524 0.756299989354192 -0.609460392096553 | 0.901957430526201 0.379515755058547 | 336 276 | 336 276
1.418 0.52814262605151 -0.0337059113867774 -0.153223927573189 | 1.79858612262035 0.765501165981623 -0.612277238408435 | 0.899293061310176 0.384128361395202 | 335 275 | 335 275
1.428 0.538317986193488 -0.0353106097041925 -0.159608257888738 | 1.79119579277407 0.775883563018729 -0.61627530512999 | 0.895597896387035 0.389333940377513 | 334 273 | 334 273
1.438 0.547035288346876 -0.0367138995754772 -0.159608257888738 | 1.78490396461049 0.779348033295272 -0.619739775406534 | 0.892451982305244 0.391073104456338 | 333 272 | 333 272
1.448 0.555752590500264 -0.0381171894467618 -0.159608257888738 | 1.77863371127153 0.782836972428821 -0.623228714540083 | 0.889316855635766 0.392824551901379 | 332 271 | 332 271
1.458 0.564460755991855 -0.0395761044776594 -0.172376918519837 | 1.77242528702578 0.799141610903993 -0.626764692384156 | 0.88621264351289 0.400996711755285 | 332 269 | 332 269
1.468 0.573159429880872 -0.0410905852034716 -0.172376918519837 | 1.76627959823387 0.802724648968148 -0.63034773044831 | 0.883139799116933 0.40279539686349 | 331 268 | 331 268
1.478 0.581858103769889 -0.0426050659292837 -0.172376918519837 | 1.76015674340229 0.806332661426797 -0.63395574290696 | 0.880078371701143 0.404606619117732 | 330 267 | 330 267
1.488 0.590546931502427 -0.04417505062048 -0.185145579150936 | 1.75409791306971 0.822756560450967 -0.637610981300031 | 0.877048956534854 0.412838647767234 | 330 265 | 330 265
1.498 0.599225558925908 -0.0458004752852143 -0.185145579150936 | 1.74810402118215 0.826459010654765 -0.641313431503829 | 0.874052010591077 0.414697277769541 | 329 264 | 329 264
1.508 0.607904186349388 -0.0474258999499486 -0.185145579150936 | 1.74213425724584 0.830186886593836 -0.645041307442899 | 0.871067128622921 0.416568671490955 | 328 263 | 328 263
1.518 0.615132015175302 -0.0488034999068636 -0.191529909466486 | 1.73719547455354 0.83970639229782 -0.648176482831334 | 0.868597737276771 0.421341079024039 | 328 262 | 328 262
1.528 0.625238456318732 -0.0507967028878115 -0.197914239782035 | 1.73035921495648 0.850535220747407 -0.652620980965372 | 0.865179607478239 0.426770766575416 | 327 260 | 327 260
1.538 0.633895622343817 -0.0525328064879534 -0.197914239782035 | 1.72454819572687 0.854383525105701 -0.656469285323665 | 0.862274097863434 0.42870261536328 | 326 259 | 326 259
1.548 0.641105272341488 -0.0540025813309447 -0.204298570097585 | 1.71974309776501 0.864003522329294 -0.659704952231709 | 0.859871548882506 0.433525469639208 | 326 258 | 326 258
1.558 0.649751178151992 -0.0557939193817343 -0.204298570097585 | 1.71402236890461 0.867920868751038 -0.663622298653453 | 0.857011184452306 0.435491977542923 | 325 257 | 325 257
1.568 0.658385471344813 -0.0576404188690654 -0.217067230728684 | 1.70837138793771 0.884654200805384 -0.6675869700767 | 0.854185693968854 0.443879341573574 | 324 255 | 324 255
1.578 0.667007799990175 -0.0595420045304772 -0.217067230728684 | 1.70279108074112 0.888666078184133 -0.67159884745545 | 0.851395540370558 0.445893304017706 | 324 254 | 324 254
1.588 0.674187978781678 -0.061149587716523 -0.223451561044233 | 1.69818019159274 0.898422403229715 -0.674970842185482 | 0.849090095796371 0.450784594860273 | 323 253 | 323 253
1.598 0.682797991437473 -0.063106182044268 -0.223451561044233 | 1.69269485899317 0.902503327435467 -0.679051766391233 | 0.846347429496583 0.45283321881156 | 323 252 | 323 252
1.608 0.691395337163588 -0.065117705288471 -0.236220221675332 | 1.68728239773791 0.919399888427494 -0.683179666752161 | 0.843641198868953 0.461302523768927 | 322 250 | 322 250
1.618 0.699979665536208 -0.0671840754603795 -0.236220221675332 | 1.6819437329874 0.923574580107541 -0.687354358432208 | 0.840971866493698 0.46339821899231 | 322 249 | 322 249
1.628 0.707127739246366 -0.068928877286414 -0.242604551990882 | 1.67753617764953 0.933466453682002 -0.69086190169112 | 0.838768088824766 0.468357555196374 | 321 248 | 321 248
1.638 0.715698700372257 -0.0710500101617405 -0.242604551990882 | 1.6722972081819 0.93770984000792 -0.695105288017038 | 0.83614860409095 0.470487735131985 | 320 247 | 320 247
1.648 0.724255944903027 -0.073225819284095 -0.255373212621981 | 1.66713423373563 0.954768281326425 -0.699395068704444 | 0.833567116867815 0.479038304013243 | 320 245 | 320 245
1.658 0.732799124049368 -0.0754562159685091 -0.255373212621981 | 1.6620481739334 0.959104200365653 -0.703730987743672 | 0.831024086966701 0.481214935370936 | 320 244 | 320 244
1.668 0.739912470579981 -0.0773375963961225 -0.261757542937531 | 1.65785309313233 0.969130138573039 -0.707372595635508 | 0.828926546566163 0.486241572020728 | 319 243 | 319 243
1.678 0.748441236125882 -0.0796224897326643 -0.261757542937531 | 1.65287145893644 0.97353400867091 -0.71177646573338 | 0.826435729468219 0.488452314809859 | 319 242 | 319 242
1.688 0.755542426415644 -0.0815492454635732 -0.26814187325308 | 1.6487642107998 0.983616450350689 -0.715474577097609 | 0.8243821053999 0.493507316202793 | 318 241 | 318 241
1.698 0.762631171023339 -0.0835212979641097 -0.27452620356863 | 1.64471882766171 0.993733046670476 -0.719206843101846 | 0.822359413830854 0.49857946322501 | 318 240 | 318 240
1.708 0.77253758501171 -0.0863454744104192 -0.280910533884179 | 1.6391493129001 1.00539510048535 -0.724484566601171 | 0.819574656450052 0.504427429909762 | 317 238 | 317 238
1.718 0.779600571972523 -0.0884078774673825 -0.287294864199729 | 1.63523896469686 1.01558646992377 -0.728291605724037 | 0.817619482348428 0.50953711303753 | 317 237 | 317 237
1.728 0.788068212918782 -0.0909098039454324 -0.287294864199729 | 1.6306019921741 1.02018800383209 -0.732893139632358 | 0.815300996087049 0.511847083059508 | 317 236 | 317 236
1.738 0.795117888964651 -0.0930172571065482 -0.293679194515278 | 1.6267844435652 1.03043440497375 -0.736755210458468 | 0.813392221782598 0.516984392102305 | 316 235 | 316 235
1.748 0.802153966754057 -0.0951696744730051 -0.300063524830828 | 1.62303164949065 1.04071370989509 -0.740650185064259 | 0.811515824745326 0.522138218842503 | 316 234 | 316 234
1.758 0.810588972051081 -0.0977795144940566 -0.300063524830828 | 1.61858532547695 1.04542018975005 -0.74535666491922 | 0.809292662738473 0.524500871729693 | 316 233 | 316 233
1.768 0.819007143477084 -0.100443152821375 -0.312832185461927 | 1.61422404261292 1.06293842810664 -0.750106242644709 | 0.807112021306461 0.533282258724069 | 315 232 | 315 232
1.778 0.826000708048999 -0.102729929101742 -0.319216515777476 | 1.61067924616858 1.0733214990936 -0.75410498331612 | 0.80533962308429 0.538488176029208 | 315 231 | 315 231
1.788 0.83438418307082 -0.105500836147244 -0.319216515777476 | 1.60648446347848 1.07815150863848 -0.758934992861002 | 0.803242231739239 0.540912840820738 | 315 230 | 315 230
1.798 0.841363005679562 -0.107832214746638 -0.325600846093026 | 1.6030383341138 1.08858693671442 -0.762986090621392 | 0.801519167056899 0.546145041384545 | 315 229 | 315 229
1.808 0.848326801871565 -0.110208100639151 -0.331985176408575 | 1.5996603333246 1.09905326499951 -0.767068088590939 | 0.7998301666623 0.551392753853347 | 314 228 | 314 228
1.818 0.856674213676954 -0.11308582464391 -0.331985176408575 | 1.59566722931018 1.10398234892285 -0.77199717251427 | 0.79783361465509 0.55386715398286 | 314 227 | 314 227
1.828 0.865003083148236 -0.116016782273536 -0.344753837039674 | 1.59176363181824 1.12172038369313 -0.776966546653456 | 0.795881815909119 0.562758878776912 | 314 226 | 314 226
1.838 0.871920099551149 -0.118525601768803 -0.351138167355224 | 1.58860435087184 1.13228358541248 -0.78114541805726 | 0.794302175435922 0.568055221709712 | 314 225 | 314 225
1.848 0.878820957963324 -0.121078530352432 -0.357522497670773 | 1.58551553619618 1.14287583495841 -0.785353337287632 | 0.792757768098088 0.573366146651449 | 314 224 | 314 224
1.858 0.887092166639458 -0.124168463415164 -0.357522497670773 | 1.58187185944136 1.14795425557141 -0.790431757900634 | 0.79093592972068 0.575915513799176 | 313 223 | 313 223
1.868 0.893976585785114 -0.126765397030973 -0.363906827986323 | 1.57888823313682 1.15859444414009 -0.794687616153764 | 0.789444116568411 0.581250504130338 | 313 222 | 313 222
1.878 0.900844285058528 -0.129406229829154 -0.370291158301872 | 1.57597643309328 1.16926249485762 -0.798971336555746 | 0.787988216546638 0.586599481260223 | 313 221 | 313 221
1.888 0.907694984535469 -0.132090854170591 -0.376675488617422 | 1.57313697715923 1.17995787729359 -0.803282388676165 | 0.786568488579613 0.591962178912763 | 313 220 | 313 220
1.898 0.914528404984612 -0.134819160631243 -0.383059818932971 | 1.57037037380392 1.19068004594206 -0.807620227009087 | 0.785185186901958 0.59733832324398 | 313 219 | 313 219
1.908 0.924070613036637 -0.138699788956754 -0.389444149248521 | 1.56660820089182 1.20317825339402 -0.813734104145501 | 0.783304100445911 0.60360603905455 | 313 218 | 313 218
1.918 0.930868640564697 -0.141515124266397 -0.395828479564071 | 1.56400084483894 1.21395820540007 -0.818129725835998 | 0.782000422419468 0.60901119063127 | 313 218 | 313 218
1.928 0.937648555642074 -0.144373802758561 -0.40221280987962 | 1.56146789649018 1.22476313664935 -0.82255032676973 | 0.780733948245089 0.614428881788094 | 313 217 | 313 217
1.938 0.944410081922579 -0.14727570791484 -0.40859714019517 | 1.55900982200825 1.23559243992399 -0.826995299728818 | 0.779504911004125 0.619858807701647 | 313 216 | 313 216
1.948 0.951152943809545 -0.150220721454927 -0.414981470510719 | 1.5566270765163 1.24644549373813 -0.831464023227415 | 0.778313538258149 0.625300656386033 | 313 215 | 313 215
1.958 0.957876866467056 -0.153208723341441 -0.421365800826269 | 1.55432010378664 1.25732166255613 -0.835955861729859 | 0.777160051893321 0.63075410880235 | 313 214 | 313 214
1.968 0.965934086731193 -0.156820063938989 -0.421365800826269 | 1.55162011243611 1.26273489987394 -0.841369099047675 | 0.775810056218057 0.633471553935893 | 313 213 | 313 213
